name	price	p_code	mall_name	image_url	url
베루안*선글라스(호피색상도있어요!)	48,000원	30705	naning9	http://www.naning9.com/shopimages/naning9/033001000484.jpg	http://www.naning9.com/shop/shopdetail.html?GfDT=am13Ul0%3D&branduid=30705&special=3
테일즈*밴딩배기팬츠	26,000원	30587	naning9	http://www.naning9.com/shopimages/naning9/031003000883.jpg	http://www.naning9.com/shop/shopdetail.html?branduid=30587&mcode=000&scode=&search=&sort=order&type=P&xcode=025
빌라엠*3단우산	15,000원	27491	naning9	http://www.naning9.com/shopimages/naning9/033012000107.jpg	http://www.naning9.com/shop/shopdetail.html?branduid=27491&mcode=012&scode=&search=&sort=order&type=X&xcode=033
다듀*헤어밴드	6,000원	8674	naning9	http://www.naning9.com/shopimages/naning9/033010000006.jpg	http://www.naning9.com/shop/shopdetail.html?branduid=8674&mcode=010&scode=&search=&sort=order&type=X&xcode=033
벨가*덧신	2,000원	27122	naning9	http://www.naning9.com/shopimages/naning9/033008000040.jpg	http://www.naning9.com/shop/shopdetail.html?branduid=27122&mcode=008&scode=&search=&sort=order&type=X&xcode=033
슈레드*스카프	45,000원	29856	naning9	http://www.naning9.com/shopimages/naning9/033007000224.jpg	http://www.naning9.com/shop/shopdetail.html?branduid=29856&mcode=007&scode=&search=&sort=order&type=X&xcode=033
플리피*선글라스(렌즈분리,안경착용가능)	24,000원	25739	naning9	http://www.naning9.com/shopimages/naning9/033001000480.jpg	http://www.naning9.com/shop/shopdetail.html?branduid=25739&mcode=001&scode=&search=&sort=order&type=X&xcode=033
코나*벨트	22,000원	25603	naning9	http://www.naning9.com/shopimages/naning9/033004000032.jpg	http://www.naning9.com/shop/shopdetail.html?branduid=25603&mcode=004&scode=&search=&sort=order&type=X&xcode=033
스쿠치*시계(카시오 정품)	64,000원	28444	naning9	http://www.naning9.com/shopimages/naning9/033009000048.jpg	http://www.naning9.com/shop/shopdetail.html?branduid=28444&mcode=009&scode=&search=&sort=order&type=X&xcode=033
리브*목걸이	16,000원	28404	naning9	http://www.naning9.com/shopimages/naning9/033006000433.jpg	http://www.naning9.com/shop/shopdetail.html?branduid=28404&mcode=006&scode=&search=&sort=order&type=X&xcode=033
스완즈*귀걸이	8,000원	30425	naning9	http://www.naning9.com/shopimages/naning9/033014000023.jpg	http://www.naning9.com/shop/shopdetail.html?branduid=30425&mcode=014&scode=&search=&sort=order&type=X&xcode=033
 루크*반지	8,000원	29122	naning9	http://www.naning9.com/shopimages/naning9/033013000217.jpg	http://www.naning9.com/shop/shopdetail.html?branduid=29122&mcode=013&scode=&search=&sort=order&type=X&xcode=033
 엠프*팔찌SET★가격조정되었습니다	16,000원	29937	naning9	http://www.naning9.com/shopimages/naning9/033003000530.jpg	http://www.naning9.com/shop/shopdetail.html?branduid=29937&mcode=003&scode=&search=&sort=order&type=X&xcode=033
