name	price	p_code	mall_name	image_url	url
멜빈*CAP(블랙도 있어요!)	18,000원	30589	naning9	/shopimages/naning9/033002000929.jpg	http://www.naning9.com/shop/shopdetail.html?GfDT=aGt3U14%3D&branduid=30589&special=3
멜빈*CAP(블랙도 있어요!)	18,000원	30589	naning9	/shopimages/naning9/033002000929.jpg	http://www.naning9.com/shop/shopdetail.html?GfDT=bmt1W15G&branduid=30589&special=3
체크*iPhone 6 핸드폰케이스	19,000원	30646	naning9	/shopimages/naning9/033012000119.jpg	http://www.naning9.com/shop/shopdetail.html?GfDT=bmt8W15F&branduid=30646&special=3
체크*iPhone 6 핸드폰케이스	19,000원	30646	naning9	/shopimages/naning9/033012000119.jpg	http://www.naning9.com/shop/shopdetail.html?GfDT=bm99W15F&branduid=30646&special=3
카르레*머플러★3가지색상	15,000원	30603	naning9	/shopimages/naning9/033007000248.jpg	http://www.naning9.com/shop/shopdetail.html?GfDT=bm10W15E&branduid=30603&special=3
카르레*머플러★3가지색상	15,000원	30603	naning9	/shopimages/naning9/033007000248.jpg	http://www.naning9.com/shop/shopdetail.html?GfDT=bmx1W15E&branduid=30603&special=3
레미벨*운동화	50,000원	30610	naning9	/shopimages/naning9/032001002051.jpg	http://www.naning9.com/shop/shopdetail.html?GfDT=amt3UFU%3D&branduid=30610&special=3
레미벨*운동화	50,000원	30610	naning9	/shopimages/naning9/032001002051.jpg	http://www.naning9.com/shop/shopdetail.html?GfDT=Z2d3UFU%3D&branduid=30610&special=3
위플*가죽팔찌	28,000원	30642	naning9	/shopimages/naning9/033003000573.jpg	http://www.naning9.com/shop/shopdetail.html?GfDT=bGZ3UFQ%3D&branduid=30642&special=3
위플*가죽팔찌	28,000원	30642	naning9	/shopimages/naning9/033003000573.jpg	http://www.naning9.com/shop/shopdetail.html?GfDT=bm93UFQ%3D&branduid=30642&special=3
지그재그*iPhone 6 핸드폰케이스	19,000원	30647	naning9	/shopimages/naning9/033012000120.jpg	http://www.naning9.com/shop/shopdetail.html?GfDT=Zmt3UFs%3D&branduid=30647&special=3
지그재그*iPhone 6 핸드폰케이스	19,000원	30647	naning9	/shopimages/naning9/033012000120.jpg	http://www.naning9.com/shop/shopdetail.html?GfDT=am93UFs%3D&branduid=30647&special=3
